,Title,Author,Publication_Year,Link,Abstract,Topic_Category
20,Prevalence of aeroallergen sensitization in a polluted and industrialized area: a pilot study in South Africa’s Vaal Triangle,Gharbi D.,2025-03-01,http://dx.doi.org/10.1007/s10661-025-13718-y,"Abstract
This pioneering study evaluates the prevalence of aeroallergens reactivity among atopic populations living in the Vaal Triangle Airshed Priority Area (VTAPA), South Africa. A total of 138 volunteers (51 males and 87 females), of African, colored, white, and Asian ethnicity, and with a mean (range) age of 22 (18–56) years were participating in the study. The study was conducted on the North-West University (NWU) campus in Vanderbijlpark/VTAPA. The International Study of Asthma and Allergies in Childhood questionnaire was utilized for pre-screening to identify individuals with probable allergic dispositions. Subsequently, skin prick testing was conducted using commercial aeroallergen extracts for all confirmed participants with allergy symptoms. One hundred six participants were clinically diagnosed with pollen and fungal spore allergies. The highest allergy prevalence was attributed to Cynodon dactylon ((L.) Pers) (Bermuda grass) (41.5%), followed by Lolium perenne (L.) (ryegrass), grass mix, and Zea mays (L.) (maize) (31.1%), respectively. Moreover, among the tree allergens, Olea (L.) (olive tree) was the most prevalent allergen (20; 18.8%), followed by Platanus (L.) (plane tree) (18; 16.9%). Among the weeds, 16 (15.1%) participants were allergic to the weed mix (Artemisia (L.) (wormwood), Chenopodium (Link) (goosefoot), Salsola (L.) (saltwort), Plantago (L.) (plantain), and 11 (10.3%) to Ambrosia (L.) (ragweed)). Regarding the fungal spores, Alternaria (Fr.) (9; 8.5%) followed by Cladosporium (Link) (5; 4.7%) had the highest skin sensitivity. In this pilot study, our findings provide insights into the prevalence of allergic responses in the study population—underlining the strong impact of allergens of exotic plants—and contribute to the existing aerobiological data in South Africa.",Environmental Health
21,Vision-related quality of life and associated factors in individuals with vision impairment,Leshabane M.M.,2025-02-28,http://dx.doi.org/10.4102/phcfm.v17i1.4765,"Background: Vision impairment (VI) limits the ability of affected individuals to achieve optimal functioning and impacts their quality of life.Aim: This study assesses the vision-related quality of life (VRQOL) and its associated factors in individuals with VI.Setting: The study was conducted at selected public hospitals in Limpopo province, South Africa.Methods: A cross-sectional, quantitative study was conducted between January and August 2023 across 29 public hospitals, utilising a semi-structured questionnaire. Data obtained from the participants’ responses were analysed to assess their VRQOL.Results: The study sample consisted of 454 participants, 57.0% female. The participants’ ages ranged from 18 to 82 years. The mean composite score was 22.50 ±13.01 (range: 4.0–55.7). Factors associated with increased risk of poorer VRQOL included illiteracy (B: –10.32; p  0.001), primary level education (B: –6.81; p = 0.015) and male gender (B: –3.80; p = 0.003). Regarding VI severity and aetiology, blindness (B: –21.35; p  0.001), cataracts (B: –2.98; p = 0.015) and corneal diseases (B: –6.85; p = 0.005) were associated with risk of poor VRQOL. Conversely, employment (B: 12.76; p  0.001) and refractive error (B: 11.84; p  0.001) were associated with improved VRQOL outcomes.Conclusion: The VRQOL among individuals with VI attending public hospitals in Limpopo province is relatively low. The main causes of VI were largely preventable or correctable, indicating the need to strengthen comprehensive eye care services. Enhancing these services may significantly improve the quality of life for individuals with VI in the province.Contribution: The study fills the knowledge gap regarding the impact of VI on VRQOL in individuals seeking care at public hospitals in Limpopo province.",Ophthalmology
22,Setting a research agenda for speech therapy and audiology practice in South Africa,Khoza-Shangase K.,2025-02-28,http://dx.doi.org/10.4102/sajcd.v72i1.1085,"In South Africa, the integration of research into clinical practice within the fields of speech therapy and audiology remains a pivotal, yet underexplored challenge. This opinion piece discusses the critical need for a structured research agenda to drive meaningful changes in clinical practice in South Africa. With healthcare realities such as limited resources, linguistic and cultural diversity, and access to services, it is essential that practitioners, policymakers and researchers collaboratively define and prioritise research topics that address the unique needs of South African patients. Through identifying gaps in current practice, engaging with communities and overcoming barriers to change, the South African healthcare system can adapt to evidence-based, patient-centred models of care. By building a culture of research and innovation, fostering multidisciplinary collaboration and ensuring continuous professional development, South Africa can align its speech therapy and audiology practices with global standards, ultimately improving outcomes for individuals with communication and hearing disorders.Contribution: This article highlights the steps needed to establish a research-driven framework for clinical practice change, positioning research as a cornerstone of future healthcare delivery.",Health Sciences
23,Elevated isoleucine may be a protective factor for primary hypertension: A pooled causal effect study,Shi Y.,2025-02-28,http://dx.doi.org/10.1097/MD.0000000000041651,"Hypertension continues to pose a huge burden to global public health. Abnormal metabolism not only serves as a risk factor for hypertension but also acts as a driving force in its aggravation. However, there remains a lack of large-scale causal demonstration based on extensive samples. Our study aims to investigate the causal relationship between metabolism and primary hypertension (PH) using Mendelian randomization analysis. We used genome-wide association studies instrumental variables for Mendelian randomization association analysis integrating the diagnosis results of PH in 3 populations from East Asia, the Middle East, and Africa with serum metabolites and metabolite ratios. This allowed us to identify predictive metabolites and metabolic pathways for diagnosing or treating PH. Inverse-variance weighting was the main model for establishing causal associations. In addition horizontal pleiotropy test, linkage disequilibrium test, and sensitivity analysis were employed to test the explanatory power of instrumental variables. A total of 10,922 cases of PH and 8299 cases of metabolomics detection cohorts were included in the study. In East Asian, Middle Eastern, and African populations, we found 36, 57, and 40 known metabolites respectively strongly associated with PH (P < .05). Cross-section and meta-analysis of these strongly correlated metabolites across the 3 ethnic groups revealed 7 common metabolites. Notably, elevated isoleucine (odds ratio = 0.74, 95% confidence interval: 0.56–0.96) was demonstrated as a potential protective factor against PH across 3 ethnic groups. The metabolites associated with PH have certain polymorphisms in different populations. Isoleucine may be a promising biomarker for PH diagnosis or treatment, but more clinical validation is needed.",Medicine
24,"Is an improvement in anaemia and iron levels associated with the risk of early postpartum depression? A cohort study from Lagos, Nigeria",Babah O.A.,2025-02-28,http://dx.doi.org/10.1186/s12889-025-21942-x,"Abstract

Background
Anaemia and depression are common conditions which affect pregnant and postpartum women. Evidence points to associations between anaemia and iron deficiency during pregnancy, and mental health disorders like depression. However, it is unclear the association between improvement in anaemia severity or iron levels during pregnancy and incidence of postpartum depression.


Objectives
This study examined association between improvement in anaemia severity and iron levels during pregnancy after four weeks of treatment and the incidence of depression at two weeks postpartum.


Methods
This cohort study nested within a clinical trial in Lagos Nigeria, included 438 anaemic (haemoglobin concentration < 11 g/dL) pregnant women at 20–32 weeks’ gestation without depression followed up until two weeks postpartum. Participants received either intravenous or oral iron treatment at enrolment. Repeat screening for anaemia and iron deficiency (serum ferritin < 30ng/mL) was done at four weeks post-treatment. The outcome, depression (score > 10), was measured at two weeks postpartum using validated Edinburgh Postnatal Depression Scale. Associations between improvement in anaemia severity and iron levels after four weeks post-enrolment versus depression at two weeks postpartum were examined using logistic regression analysis, adjusting for confounders.


Results
Mean age of women was 29.5 ± 5.6years. Median haemoglobin concentration of 9.3 (IQR: 8.8–9.8)g/dL and median serum ferritin 44.4 (IQR: 22.1–73.7)ng/mL at enrolment. Prevalence of postpartum depression was 5.8% (95%CI: 3.8–8.5%). There was a non-significant association between improvement in anaemia severity at four weeks post-enrolment and postpartum depression, aOR: 0.15 (95%CI: 0.02–1.15). The odds for postpartum depression was nearly five times higher in women who had postpartum haemorrhage, aOR: 4.90 (95%CI: 1.18–20.36). In the subgroup with iron deficiency (n = 148), no association was found between an improvement in iron levels four weeks post-enrolment and the odds for postpartum depression, aOR: 1.14 (95%CI: 0.09–3.93).


Conclusion
Improvement in anaemia severity during late pregnancy was non-significantly associated with lower risk for postpartum depression; no association between improvement in iron levels and postpartum depression. It is likely that an improvement in anaemia severity in early pregnancy will lessen the burden of postpartum depression; however, this study is limited by sample size to draw this conclusion.
",Medicine
25,"A new species of genus Psilocladia Warren from India, bridging the boundaries of Africa and Asia (Lepidoptera: Geometridae: Ennominae)",Singh M.,2025-02-28,http://dx.doi.org/10.11646/zootaxa.5594.2.4,"In the present manuscript, we describe a new species i.e., Psilocladia indica M. Singh, Lenka & N. Singh, sp. nov., from India and diagnose with its close congeners based on wing pattern and genitalia. Psilocladia indica sp. nov. is the fifth species of the genus. This study also reports Psilocladia Warren, 1898, a genus hitherto known only from Africa, for the first time from Asia. Psilocladia is closely similar to an African genus, Xenimpia Warren, 1895 and an Oriental genus Krananda Moore, 1868. The diagnostic attributes are explained and illustrated herein. Additionally, global checklist and identification key to all the species of the Psilocladia are provided. 
 ",Entomology
26,Reduced sexual activity and increased sexually transmitted infections risk among left-behind women in rural China,Li Q.,2025-02-28,http://dx.doi.org/10.29063/ajrh2025/v29i2.9,"Spousal migration creates a unique situation for ""left-behind women"" in rural China, who face challenges to their sexual and reproductive health and rights (SRHR). Using the Chinese Health and Family Life Survey 2000 dataset, we compare SRH outcomes of left-behind women and non-migrant counterparts. While reporting significantly lower sexual activity, left-behind women are disproportionately affected by chlamydia, despite no increase in risky behaviors. This, coupled with their higher prevalence of unwanted sex, suggests unwanted encounters as a potential contributor to their higher sexually transmitted infections risk. These findings highlight the complex SRH challenges faced by left-behind women and emphasize the need for tailored interventions, including promoting safer sex practices and addressing the risk of unwanted encounters. Furthermore, understanding the situation in China can inform interventions for left-behind women in other contexts with high spousal migration, such as parts of Africa.",Sociology
27,"Sexual and reproductive health needs and barriers among youth living with HIV/AIDS in Lagos State, Nigeria",Adelekan B.A.,2025-02-28,http://dx.doi.org/10.29063/ajrh2025/v29i2.14,"This study assesses the sexual and reproductive health (SRH) needs and barriers faced by youth living with HIV/AIDS in Lagos State, Nigeria. Conducted between September and December 2022, the cross-sectional survey involved 117 participants from HIV support groups, with a mean age of 18.6±2.6 years. Most participants were female (57.3%), and 47% had lost one or both parents. While 78.6% were aware of male condoms, only 33.3% reported being sexually active, and just 41% demonstrated good SRH knowledge. Key SRH needs included access to youth-friendly services, comprehensive education, diverse contraceptive options, support for HIV status confidentiality, as well as transportation assistance. Barriers to service utilisation were fear of HIV disclosure (66.7%) and transportation costs (59.8%). Sexual activity was significantly associated with contraceptive use (p=0.001) and being in a relationship (p<0.001). Regression analysis revealed that contraceptive use increased the odds of sexual activity 3.3 times (aOR 3.32, 95% CI 1.134–9.744, p=0.029), while being in a relationship raised it by 5.9 times (aOR 5.96, 95% CI 2.126–16.747, p=0.001). The findings underscore the need for targeted policies and programs to enhance access to SRH services and address the unique needs of youth living with HIV/AIDS in Lagos State.",Public Health
28,"Experiences of postnatal mothers regarding the implementation of maternal and neonatal referral system guidelines in Mopani District in the Limpopo Province, South Africa",Mosehla K.R.,2025-02-28,http://dx.doi.org/10.29063/ajrh2025/v29i2.2,"South Africa experiences challenges of maternal mortality, caused by pregnancy related conditions. Limpopo Province as one of the provinces in South Africa, is also affected. There are challenges facing obstetric emergency referrals, despite the availability of maternal/neonatal referral system guidelines. Therefore, this study explored the experiences of postnatal mothers aiming at facilitation of prompt referral of obstetric emergencies. Descriptive phenomenological research methods were used. The study was conducted in two selected sites, a maternity unit of a district hospital and a primary healthcare facility (fixed clinic), which is a feeder clinic to the district hospital in a selected sub-district of the Mopani district. Population were eleven (11) postnatal mothers. Purposive sampling was used. Data were collected using in- depth individual face –to- face interviews. Data was analysed using Colaizzi’s seven procedural steps. Four essential meanings and their constituents were revealed: postnatal mothers’ positive experiences, challenging experiences, consequences of challenges and post-natal mothers' recommendations. Health care facilities to be equipped with adequate, functional, safe, reliable, well equipped obstetrical equipment, material and human resources to facilitate prompt referral of obstetric emergencies.",Public Health
29,"Barriers to sexual health communication between parents and teenagers: Perspectives of parents in a rural community in Mpumalanga province, South Africa",Mngomezulu N.M.,2025-02-28,http://dx.doi.org/10.29063/ajrh2025/v29i2.4,"Teenagers are affected by negative sexual and reproductive health outcomes because of the lack of knowledge and risky decision-making. This may be worsened by teenagers seeking information from questionable sources such as the internet, and social media. This highlights the need for parent-teen communication on sexual health practices. The study aimed to explore the perspectives of parents regarding the barriers to sexual health communication with their teenagers in the Masoyi rural community, Mpumalanga province, South Africa. This exploratory, descriptive, qualitative study was conducted using in-depth interviews and analyzed using content analysis. Purposive sampling was used to select 14 parents who had teenagers aged 12 to 19 years. Parents revealed that the barriers that hindered parent-teen communication include cultural influences, unavailability of parents and conflicting messages from parents and media, age difference and media (television). Parents need to be confident or comfortable in engaging with their teenagers about sexual health content.",Sociology
30,Out-of-pocket expenditure and human welfare in Nigeria: Evidence from a fully modified ordinary least squares regression,Jia H.,2025-02-28,http://dx.doi.org/10.29063/ajrh2025/v29i2.17,"This study assesses the connection between out-of-pocket expenditure and human welfare in Nigeria using a Fully Modified Ordinary Least Squares regression. The assessment is based on data from the World Development Indicators (2023), from the periods of 2000 to 2023. The results attest that the status of human welfare in the areas of health, education and living standard is just slightly above the average global benchmark of 0.5. However, on an average basis, households in Nigeria pay 71% of their total health expenses directly from their pockets to health care providers. Also, OOP spending and human welfare had a significant negative relationship. Therefore, to improve the health component of human welfare in Nigeria, the policymakers should heavily subsidize the health care services. Both government health expenditure and GDP per capita had a direct but insufficient impact on human welfare in Nigeria. Therefore, for Nigeria to experience a significant improvement in human welfare via public health input and GDP per capita, the policymakers in the country should be allocating at least 15% of its total annual budget towards healthcare as recommended during the Abuja Declaration in 2001 with a view to lessening OOP spending of the households.",Economics
31,"Associations between dietary diversity and self-rated health in a transverse study of four local food systems (French Guiana, Guadeloupe, Portugal and Senegal)",Rapinski M.,2025-02-28,http://dx.doi.org/10.1186/s12889-025-21872-8,"Abstract

Background
The nutrition transition is linked to the double-burden of malnutrition worldwide, and its impact on the quality of life is considerable. The dietary diversity score and self-rated health are two proxies that have been used to assess, for the former, nutrient adequacy and overall diet quality, and for the latter, health from a sociological, epidemiological and economical lens. The general aim of this study was to evaluate the relation between food and subjective health, and to test the hypothesis that greater dietary diversity is positively associated with a better perception of health.


Methods
A transverse comparison of foods consumed in four highly contrasted local socio-ecosystems (i.e., two French oversea territories: French Guiana, Guadeloupe, Portugal and Senegal) was conducted using 24-hour dietary recalls. Dietary diversity was calculated using 18 food groups based on classifications provided by WHO and FAO. Binary logistic regressions were used to assess the relationship between dietary diversity scores and answers to the question assessing self-rated health.


Results
Overall, 465 individuals, 18 years and older, from Senegal, Guiana, Guadeloupe and Portugal were interviewed using a 24-hour dietary recall. Participants were selected via a combination of non-probability sampling methods. The mean dietary diversity score for all regions combined was 9.22. Over one-third of participants reported their health as ‘good’ (39.8%), whereas ‘bad’ and ‘excellent’ health were the least reported, at 6.45% and 9.03%, respectively. Multiple binary logistic regression notably found that dietary diversity score (OR = 0.88, 95% CI [0.79, 0.99], p = 0.010) and at-home meal preparation, specifically with the reference category ‘all the time’ compared to ‘never’ (OR = 3.31, 95% CI [1.55, 7.07], p = 0.002) were statistically significant predictors of self-rated health (i.e., declaring overall bad health).


Conclusions
This study demonstrates a positive association between dietary diversity and self-rated health across distinct cultural contexts. The findings reinforce the importance of diverse diets for subjective well-being, regardless of differences in food systems. Public health messaging should continue to promote dietary diversity and home-cooked meals as effective strategies for improving health. Self-rated health could serve as a useful tool for quickly assessing the outcomes of nutrition therapy.
",Nutrition Science
32,Additions to Termitomyces aurantiacus growing termite comb-associated fungi,Yang E.,2025-02-28,http://dx.doi.org/10.11646/phytotaxa.690.2.3,"The Macrotermitinae termites, the only lineage that maintains and cultivates Termitomyces species as nutritional ectosymbionts, resemble human agricultural activities. Found in savannah and rainforest ecosystems across Africa and Asia, these termites enhance the physical and chemical properties of soil and influence the composition of microbial communities. However, fungus-growing termites also pose significant threats to agriculture and forestry. Termitomyces species, dominant fungi propagated within biomass-containing cork-like structures (“fungus comb”), also contain trace amounts of non-termitomyces fungi. In the summer of 2022, we collected combs of the subterranean fungus-growing termites that cultivate Termitomyces aurantiacus from the Xishuangbanna Tropical Botanical Garden. To validate our results, we used a culture-dependent method to isolate fungi residing in termite fungus gardens. This method was further validated by confirming their taxonomic classification through morphological and phylogenetic results. The findings of these studies led to the identification of one new (Geotrichum xishuangbannaensis) and four known (Paecilomyces formosus, Paecilomyces lagunculariae, Pleurostoma richardsiae, and Pseudallescheria angusta) species. We provide comprehensive descriptions, photographic illustrations of morphological characteristics, and phylogenetic trees of the taxa.",Mycology
33,Australian Heritage for the North Lhasa Terrane,Yu C.S.,2025-02-28,http://dx.doi.org/10.1029/2024GL113338,"AbstractThe Precambrian history of the Lhasa terrane, southern Tibet is intensely debated, which hinders global plate tectonic reconstructions throughout the Proterozoic. Previous research on Precambrian basement has suggested that the Lhasa terrane originated from India or Africa, although the paucity of exposed pre‐Neoproterozoic rocks in the North Lhasa terrane (NL) has led to significant uncertainty. We document newly identified Neoarchean granites and Mesoproterozoic Guomangtso Suite from the NL. These pre‐Neoproterozoic rocks reveal a 2.62 Ga anorogenic rifting event and a 1.30–1.10 Ga transition from subduction to back‐arc extension, related to the 2.7–2.6 Ga rifting of the Pilbara Craton and the Proterozoic assembly between the North and West Australian Cratons, respectively. However, these tectono‐magmatic events have no equivalents in the South Lhasa terrane (SL). These observations suggest that the NL originated from Western Australia, and the NL and SL may have distinct origins.",Geology
34,When Astronomy Meets AI: Manazel For Crescent Visibility Prediction in Morocco,[arxiv.Result.Author('Yassir Lairgi')],2025-03-27,http://arxiv.org/pdf/2503.21634v1,"The accurate determination of the beginning of each Hijri month is essential
for religious, cultural, and administrative purposes. Manazel (The code and
datasets are available at https://github.com/lairgiyassir/manazel) addresses
this challenge in Morocco by leveraging 13 years of crescent visibility data to
refine the ODEH criterion, a widely used standard for lunar crescent visibility
prediction. The study integrates two key features, the Arc of Vision (ARCV) and
the total width of the crescent (W), to enhance the accuracy of lunar
visibility assessments. A machine learning approach utilizing the Logistic
Regression algorithm is employed to classify crescent visibility conditions,
achieving a predictive accuracy of 98.83%. This data-driven methodology offers
a robust and reliable framework for determining the start of the Hijri month,
comparing different data classification tools, and improving the consistency of
lunar calendar calculations in Morocco. The findings demonstrate the
effectiveness of machine learning in astronomical applications and highlight
the potential for further enhancements in the modeling of crescent visibility.",Astronomy
35,Low-Resource Transliteration for Roman-Urdu and Urdu Using Transformer-Based Models,"[arxiv.Result.Author('Umer Butt'), arxiv.Result.Author('Stalin Veranasi'), arxiv.Result.Author('Günter Neumann')]",2025-03-27,http://arxiv.org/pdf/2503.21530v1,"As the Information Retrieval (IR) field increasingly recognizes the
importance of inclusivity, addressing the needs of low-resource languages
remains a significant challenge. Transliteration between Urdu and its Romanized
form, Roman Urdu, remains underexplored despite the widespread use of both
scripts in South Asia. Prior work using RNNs on the Roman-Urdu-Parl dataset
showed promising results but suffered from poor domain adaptability and limited
evaluation. We propose a transformer-based approach using the m2m100
multilingual translation model, enhanced with masked language modeling (MLM)
pretraining and fine-tuning on both Roman-Urdu-Parl and the domain-diverse
Dakshina dataset. To address previous evaluation flaws, we introduce rigorous
dataset splits and assess performance using BLEU, character-level BLEU, and
CHRF. Our model achieves strong transliteration performance, with Char-BLEU
scores of 96.37 for Urdu->Roman-Urdu and 97.44 for Roman-Urdu->Urdu. These
results outperform both RNN baselines and GPT-4o Mini and demonstrate the
effectiveness of multilingual transfer learning for low-resource
transliteration tasks.",Natural Language Processing
36,Using large language models to produce literature reviews: Usages and systematic biases of microphysics parametrizations in 2699 publications,"[arxiv.Result.Author('Tianhang Zhang'), arxiv.Result.Author('Shengnan Fu'), arxiv.Result.Author('David M. Schultz'), arxiv.Result.Author('Zhonghua Zheng')]",2025-03-27,http://arxiv.org/pdf/2503.21352v1,"Large language models afford opportunities for using computers for intensive
tasks, realizing research opportunities that have not been considered before.
One such opportunity could be a systematic interrogation of the scientific
literature. Here, we show how a large language model can be used to construct a
literature review of 2699 publications associated with microphysics
parametrizations in the Weather and Research Forecasting (WRF) model, with the
goal of learning how they were used and their systematic biases, when
simulating precipitation. The database was constructed of publications
identified from Web of Science and Scopus searches. The large language model
GPT-4 Turbo was used to extract information about model configurations and
performance from the text of 2699 publications. Our results reveal the
landscape of how nine of the most popular microphysics parameterizations have
been used around the world: Lin, Ferrier, WRF Single-Moment, Goddard Cumulus
Ensemble, Morrison, Thompson, and WRF Double-Moment. More studies used
one-moment parameterizations before 2020 and two-moment parameterizations after
2020. Seven out of nine parameterizations tended to overestimate precipitation.
However, systematic biases of parameterizations differed in various regions.
Except simulations using the Lin, Ferrier, and Goddard parameterizations that
tended to underestimate precipitation over almost all locations, the remaining
six parameterizations tended to overestimate, particularly over China,
southeast Asia, western United States, and central Africa. This method could be
used by other researchers to help understand how the increasingly massive body
of scientific literature can be harnessed through the power of artificial
intelligence to solve their research problems.",Computer Science
37,Study of the origin of the azimuthal variation of synchrotron X-ray spectrum from SNR RX J0852.0-4622,"[arxiv.Result.Author('Dai Tateishi'), arxiv.Result.Author('Nobuaki Sasaki'), arxiv.Result.Author('Yukikatsu Terada'), arxiv.Result.Author('Satoru Katsuda'), arxiv.Result.Author('Shiu-Hang Lee'), arxiv.Result.Author('Hidetoshi Sano'), arxiv.Result.Author('Yasuo Fukui'), arxiv.Result.Author('Aya Bamba')]",2025-03-27,http://arxiv.org/pdf/2503.21331v1,"We report the azimuthal distribution of the X-ray energy spectrum of
non-thermal dominant supernova remnant RX J0852.0$-$4622. The X-rays from the
shock region observed by the X-ray astronomy satellite Suzaku/XIS in the energy
range of 2-8 keV are well described by the absorbed power-law model and can be
parameterized with flux and photon index. The X-ray flux and photon index are
bimodally distributed in relation to the azimuthal angle. To understand its
origin, we examined three possible causes: azimuthal variation by (1) the
galactic magnetic field, (2) cloud density, and (3) shock velocity. From the
polarization observations of stars near the SNR, we find that the Galactic
magnetic field around the SNR is not aligned. This result leads us to conclude
that the azimuthal variation of the X-ray spectrum is most likely not caused by
the Galactic magnetic field. The X-ray fluxes are positively correlated with
the cloud density with a significance of $\sim 5\sigma$, and the azimuthal
distributions of these physical quantities are particularly pronounced in the
northern part of the SNR. In addition, the X-ray fluxes on the southern part of
the SNR are positively correlated with the shock velocity. This phenomenon can
be qualitatively explained by the increase in roll-off energy due to the
amplification of the magnetic field by (A) the interaction between the shock
and dense clouds in the north and (B) the fast shock velocity in the south of
the SNR. Since the shock velocity is likely related to the cloud density
interacting with the shock, we conclude that the azimuthal variation of cloud
density most likely causes the azimuthal variations of the X-ray flux and
photon index.",Astrophysics
