,Unnamed: 0,Title,Author,Publication_Year,Link,Abstract,Repository,Topic_Category,Year,Country(s)
67,67,"Twitter Interaction to Analyze Covid-19 Impact in Ghana, Africa from March to July","Josimar Chire Saire, Kobby Panford-Quainoo",2020-08-27,http://arxiv.org/pdf/2008.12277v2,"The novel coronavirus, COVID-19, has impacted various aspects of the world
from tourism, business, education, and many more. Like for every country, the
global pandemic has imposed similar effects on Ghana. During this period,
citizens of this country have used social networks as a platform to find and
disseminate information about the infectious disease and also share their own
opinions and sentiments. In this study, we use text mining to draw insights
from data collected from the social network, Twitter. Our exploration of the
data led us to understand the most frequent topics raised in the Greater Accra
region of Ghana from March to July 2020. We observe that the engagement of
users of this social network was initially high in March but declined from
April to July. The reason was probably that the people were becoming more
adapted to the situation after an initial shock when the disease was announced
in the country. We also found certain words in these tweets of users that
enabled us to understand the sentiments and mental state of individuals at the
time.",arxiv,Social Sciences,2020,Ghana
68,68,SuaCode Africa: Teaching Coding Online to Africans using Smartphones,"George Boateng, Prince Steven Annor, Victor Kumbol",2021-07-26,http://arxiv.org/pdf/2107.12257v1,"There is a burgeoning trend of smartphone ownership in Africa due to the low
costs of Android smartphones and the global increase in social media usage.
Building upon previous works that introduced a smartphone-based coding course
to secondary and tertiary students in Ghana via an in-person program and an
online course, this work introduced Africans in 37 countries to our online
smartphone-based course in 2019. Students in this 8-week course read lesson
notes, submitted assignments, collaborated with peers, and facilitators in an
online forum and completed open and closed-ended surveys after the course. We
performed qualitative and quantitative analyses on the data from the course.
  Out of the 709 students that applied, 210 were officially admitted to the
course after passing the preliminary assignments. And at the end of the course,
72% of the 210 students completed the course. Additionally, students'
assignment submissions and self-reports showed an understanding of the
programming concepts, with comparable performance between males and females and
across educational levels. Also, students mentioned that the lesson notes were
easy to understand and they enjoyed the experience of writing code on their
smartphones. Moreover, students adequately received help from peers and
facilitators in the course forum. Lastly, results of a survey sent to students
a year after completing this program showed that they had developed various
applications, wrote online tutorials, and learned several tools and
technologies. We were successful at introducing coding skills to Africans using
smartphones through SuaCode Africa.",arxiv,Education Technology,2021,Ghana
69,69,Fluid-structure interaction modelling and stabilisation of a patient-specific arteriovenous access fistula,"W. P. Guess, B. D. Reddy, A. McBride, B. Spottiswoode, J. Downs, T. Franz",2017-04-25,http://arxiv.org/pdf/1704.07753v1,"A patient-specific fluid-structure interaction (FSI) model of a
phase-contrast magnetic resonance angiography (PC-MRA) imaged arteriovenous
fistula is presented. The numerical model is developed and simulated using a
commercial multiphysics simulation package where a semi-implicit FSI coupling
scheme combines a finite volume method blood flow model and a finite element
method vessel wall model. A pulsatile mass-flow boundary condition is
prescribed at the artery inlet of the model, and a three-element Windkessel
model at the artery and vein outlets. The FSI model is freely available for
analysis and extension. This work shows the effectiveness of combining a number
of stabilisation techniques to simultaneously overcome the added-mass effect
and optimise the efficiency of the overall model. The PC-MRA data, fluid model,
and FSI model results show almost identical flow features in the fistula; this
applies in particular to a flow recirculation region in the vein that could
potentially lead to fistula failure.",arxiv,Biomedical Engineering,2017,No country is mentioned in the abstract.
70,70,Modeling Fermi Large Area Telescope and Multiwavelength Data from Blazars,Justin Finke,2016-02-18,http://arxiv.org/pdf/1602.05965v1,"Blazars are active galactic nuclei with relativistic jets pointed at the
Earth, making them extremely bright at essentially all wavelengths, from radio
to gamma rays. I review the modeling of this broadband spectral energy
distributions of these objects, and what we have learned, with a focus on gamma
rays.",arxiv,Astrophysics,2016,Earth
71,71,Blazar variability - expect the unexpected,Michael Zacharias,2019-03-06,http://arxiv.org/pdf/1903.02274v1,"Despite significant progress in both data taking and the development of
theory, blazars keep offering surprises. While many frequency bands are now
covered by long-term monitoring efforts on at least a few selected sources,
blazars remain unpredictable and the same source may exhibit vastly different
behaviors. Here, an overview is given about four selected sources, namely 3C
279, PKS 2155-304, PKS 1510-089 and CTA 102. All of them exhibited, indeed,
highly unexpected events.",arxiv,Astrophysics,2019,No country is mentioned in the abstract.
72,72,The radiation environment over the African continent at aviation altitudes: First results of the RPiRENA-based dosimeter,"M. G. Mosotho, R. D. Strauss, S. Bottcher, C. Diedericks",2023-03-04,http://arxiv.org/pdf/2303.15452v1,"The radiation environment over the African continent, at aviation altitudes,
remains mostly uncharacterized and unregulated. In this paper we present
initial measurements made by a newly developed active dosimeter on-board
long-haul flights between South Africa and Germany. Based on these initial
tests, we believe that this low-cost and open-source dosimeter is suitable for
continued operation over the Africa continent and can provide valuable
long-term measurements to test dosimteric models and inform aviation policy",arxiv,Physics,2023,"South Africa, Germany"
73,73,An Endangered National Heritage Site -- The Cape Observatory,Ian Glass,2024-01-24,http://arxiv.org/pdf/2401.13456v1,"The SAAO Cape Town campus was declared a National Heritage Site in December
2018, just short of its 200th anniversary, but is now in a run-down condition.
As the former Royal Observatory, it is the oldest scientific institution in
South Africa and probably in all Africa. It has a fascinating and
well-documented history and surely deserves better. For many years maintenance
has been neglected and many of the old telescopes and buildings are in a poor
state. They are beginning to show signs of serious decay. Some examples are
given.",arxiv,History,2024,South Africa
74,74,Supporting Contraceptive Decision-Making in the Intermediated Pharmacy Setting in Kenya,"Lisa Orii, Elizabeth K Harrington, Serah Gitome, Nelson Kiprotich Cheruiyot, Elizabeth Anne Bukusi, Sandy Cheng, Ariel Fu, Khushi Khandelwal, Shrimayee Narasimhan, Richard Anderson",2025-02-07,http://arxiv.org/pdf/2502.05323v1,"Adolescent girls and young women (AGYW) in sub-Saharan Africa face unique
barriers to contraceptive access and lack AGYW-centered contraceptive
decision-support resources. To empower AGYW to make informed choices and
improve reproductive health outcomes, we developed a tablet-based application
to provide contraceptive education and decision-making support in the pharmacy
setting - a key source of contraceptive services for AGYW - in Kenya. We
conducted workshops with AGYW and pharmacy providers in Kenya to gather app
feedback and understand how to integrate the intervention into the pharmacy
setting. Our analysis highlights how intermediated interactions - a multiuser,
cooperative effort to enable technology use and information access - could
inform a successful contraceptive intervention in Kenya. The potential
strengths of intermediation in our setting inform implications for
technological health interventions in intermediated scenarios in
\lrem{LMICs}\ladd{low- and middle-income countries}, including challenges and
opportunities for extending impact to different populations and integrating
technology into resource-constrained healthcare settings.",arxiv,Public Health,2025,Kenya
75,75,ICT and Health System Performance in Africa: A Multi-Method Approach,"Felix Olu Bankole, Lucas Mimbi",2016-05-04,http://arxiv.org/pdf/1605.01151v1,"For the past two decades, the discussion regarding the effect of ICT on
health systems is becoming apparent. However, past studies have mainly focused
on ICT impact on specific social-economic phenomena. Little empirical research
on ICT and health systems exists. Many African countries have invested in ICT
and there is a need to examine if such investments have impacted on health
system of these countries. Using a multi-method approach, data for 27 African
countries were analysed. We employed Data Envelopment Analysis, Cluster
Analysis and Partial Least Squares to examine the impact. The findings indicate
that the 27 countries can be grouped into three clusters based on their
relative efficiency scores of ICT and health systems. More compelling, the
findings indicate that countries that performed efficiently in ICT inputs also
do so in their health systems. Further, findings indicate that ICT
significantly improves life expectancy at birth and reduces infant mortality
rate. African countries must significantly invest in ICT to improve their
health systems so as to achieve socio-economic development. The current study
has theoretical, methodological and policy implications.",arxiv,Health Informatics,2016,African countries
76,76,Special Issue on Advances in Chiral Quark Models,Jorge Segovia,2022-03-09,http://arxiv.org/pdf/2203.04778v1,"The number of exotic candidates in both light- and heavy-quark hadron sectors
has increased dramatically since the discovery by the Belle Collaboration of
the so-called $X(3872)$ in 2003. It is clear that the simple quark model
picture needs an extension and thus the last twenty years have witnessed an
explosion of related theoretical and experimental activity. The ultimate goal
of theory is to describe the properties of exotic states from the first
principles of Quantum Chromodynamics (QCD), which is the non-Abelian Quantum
Field Theory that describes the strong interaction. However, since this task is
quite challenging, a more modest goal to start with is the development of
QCD-motivated phenomenological models that specify the colored constituents,
how they are clustered, and the forces between them. This Special Issue invited
contributions reporting recent advances of phenomenological quark models in the
study of hadron's spectrocopy, structure, and interactions, paying special
attention to the exotic candidates but without losing sight of the conventional
states. In response to the call for papers, and after a comprehensive peer
review process, 8 articles qualified for acceptance in the final edition of the
Special Issue. The authors are from geographically distributed countries such
as Spain, South Africa, Ghana, China, Brazil, Argentina. This reflects the
impact of the proposed topic and the effective organization of the guest
editorial team of this Special Issue.",arxiv,Physics,2022,"Spain, South Africa, Ghana, China, Brazil, Argentina"
77,77,Can an AI Win Ghana's National Science and Maths Quiz? An AI Grand Challenge for Education,"George Boateng, Victor Kumbol, Elsie Effah Kaufmann",2023-01-30,http://arxiv.org/pdf/2301.13089v1,"There is a lack of enough qualified teachers across Africa which hampers
efforts to provide adequate learning support such as educational question
answering (EQA) to students. An AI system that can enable students to ask
questions via text or voice and get instant answers will make high-quality
education accessible. Despite advances in the field of AI, there exists no
robust benchmark or challenge to enable building such an (EQA) AI within the
African context. Ghana's National Science and Maths Quiz competition (NSMQ) is
the perfect competition to evaluate the potential of such an AI due to its wide
coverage of scientific fields, variety of question types, highly competitive
nature, and live, real-world format. The NSMQ is a Jeopardy-style annual live
quiz competition in which 3 teams of 2 students compete by answering questions
across biology, chemistry, physics, and math in 5 rounds over 5 progressive
stages until a winning team is crowned for that year. In this position paper,
we propose the NSMQ AI Grand Challenge, an AI Grand Challenge for Education
using Ghana's National Science and Maths Quiz competition (NSMQ) as a case
study. Our proposed grand challenge is to ""Build an AI to compete live in
Ghana's National Science and Maths Quiz (NSMQ) competition and win - performing
better than the best contestants in all rounds and stages of the competition.""
We describe the competition, and key technical challenges to address along with
ideas from recent advances in machine learning that could be leveraged to solve
this challenge. This position paper is a first step towards conquering such a
challenge and importantly, making advances in AI for education in the African
context towards democratizing high-quality education across Africa.",arxiv,Education Technology,2023,Ghana
78,78,CyberMoraba: A game-based approach enhancing cybersecurity awareness,Mike Nkongolo,2024-03-15,http://arxiv.org/pdf/2403.10118v1,"Numerous studies confirm Cybersecurity Awareness Games (CAGs) effectively
bolster organisational security against cyberattacks. This article introduces a
serious CAG, integrating the traditional South African Morabaraba board game
into cybersecurity education. Players adopt roles of defenders or attackers,
strategically placing tokens to enhance awareness. Evaluation shows positive
outcomes, enhancing understanding and enjoyment among participants.",arxiv,Computer Science,2024,South Africa
79,79,A Highly Granular Temporary Migration Dataset Derived From Mobile Phone Data in Senegal,"Paul Blanchard, Stefania Rubrichi",2024-06-21,http://arxiv.org/pdf/2406.15216v1,"Understanding temporary migration is crucial for addressing various
socio-economic and environmental challenges in developing countries. However,
traditional surveys often fail to capture such movements effectively, leading
to a scarcity of reliable data, particularly in sub-Saharan Africa. This
article introduces a detailed and open-access dataset that leverages mobile
phone data to capture temporary migration in Senegal with unprecedented
spatio-temporal detail. The dataset provides measures of migration flows and
stock across 151 locations across the country and for each half-month period
from 2013 to 2015, with a specific focus on movements lasting between 20 and
180 days. The article presents a suite of methodological tools that not only
include algorithmic methods for the detection of temporary migration events in
digital traces, but also addresses key challenges in aggregating individual
trajectories into coherent migration statistics. These methodological
advancements are not only pivotal for the intrinsic value of the dataset but
also adaptable for generating systematic migration statistics from other
digital trace datasets in other contexts.",arxiv,Data Science,2024,Senegal
80,80,Globalizing Fairness Attributes in Machine Learning: A Case Study on Health in Africa,"Mercy Nyamewaa Asiedu, Awa Dieng, Abigail Oppong, Maria Nagawa, Sanmi Koyejo, Katherine Heller",2023-04-05,http://arxiv.org/pdf/2304.02190v1,"With growing machine learning (ML) applications in healthcare, there have
been calls for fairness in ML to understand and mitigate ethical concerns these
systems may pose. Fairness has implications for global health in Africa, which
already has inequitable power imbalances between the Global North and South.
This paper seeks to explore fairness for global health, with Africa as a case
study. We propose fairness attributes for consideration in the African context
and delineate where they may come into play in different ML-enabled medical
modalities. This work serves as a basis and call for action for furthering
research into fairness in global health.",arxiv,Computer Science,2023,Africa
81,81,A review of effects of climate change on Agriculture in Africa,"Samuel Asante Gyamerah, Dennis Ikpe",2021-08-25,http://arxiv.org/pdf/2108.12267v1,"Currently, agriculture in Africa contributes only a tenth to global Green
House Gas (GHG) emissions from agriculture. Despite its relatively low
contribution to GHG, a conundrum of ""climate justice"", adverse impacts of
climate change disproportionately threaten Africa's agriculture, the
Continent's main economic sector. Consequently, we seek to review the effects
of climate change on Agriculture.",arxiv,Environmental Science,2021,Africa
82,82,Status of the Computing for Research in Africa,Ghita Rahal,2022-06-09,http://arxiv.org/pdf/2206.05306v1,"In the framework of the African Strategy for Fundamental and Applied Physics
AFSAP, we have launched a survey to understand the need in computing of
research scientists in Africa. In this paper we summarise the survey and
extract possible guidelines and recommendations to improve the situation and
boost scientific research in Africa.",arxiv,Computer Science,2022,Africa
83,83,"Northwest Africa 5958: a weakly altered CM-related ungrouped chondrite, not a CI3","Emmanuel Jacquet, Jean-Alix Barrat, Pierre Beck, Florent Caste, Jérôme Gattacceca, Corinne Sonzogni, Matthieu Gounelle",2017-02-20,http://arxiv.org/pdf/1702.05955v1,"Northwest Africa (NWA) 5958 is a carbonaceous chondrite found in Morocco in
2009. Preliminary chemical and isotopic data leading to its initial
classification as C3.0 ungrouped have prompted us to conduct a multi-technique
study of this meteorite and present a general description here. The petrography
and chemistry of NWA 5958 is most similar to a CM chondrite, with a low degree
of aqueous alteration, apparently under oxidizing conditions, and evidence of a
second, limited alteration episode manifested by alteration fronts. The oxygen
isotopic composition, with $\Delta^{17}$O = -4.3 $\permil$, is more 16O-rich
than all CM chondrites, indicating, along with other compositional arguments, a
separate parent body of origin. We suggest that NWA 5958 be reclassified as an
ungrouped carbonaceous chondrite related to the CM group.",arxiv,Planetary Science,2017,Morocco
84,84,Analysing Scientific Mobility and Collaboration in the Middle East and North Africa,"Jamal El-Ouahi, Nicolas Robinson-Garcia, Rodrigo Costas",2020-09-16,http://arxiv.org/pdf/2009.07815v2,"This study investigates the scientific mobility and international
collaboration networks in the Middle East and North Africa (MENA) region
between 2008 and 2017. By using affiliation metadata available in scientific
publications, we analyse international scientific mobility flows and
collaboration linkages. Three complementary approaches allow us to obtain a
detailed characterization of scientific mobility. First, we uncover the main
destinations and origins of mobile scholars for each country. Results reveal
geographical, cultural and historical proximities. Cooperation programs also
contribute to explain some of the observed flows. Second, we use the academic
age. The average academic age of migrant scholars in MENA was about 12.4 years.
The academic age group 6-to-10 years is the most common for both emigrant and
immigrant scholars. Immigrants are relatively younger than emigrants, except
for Iran, Palestine, Lebanon, and Turkey. Scholars who migrated to Gulf
Cooperation Council countries, Jordan and Morocco were in average younger than
emigrants by 1.5 year from the same countries. Third, we analyse gender
differences. We observe a clear gender gap: Male scholars represent the largest
group of migrants in MENA. We conclude discussing the policy relevance of the
scientific mobility and collaboration aspects.",arxiv,Sociology,2020,"Iran, Palestine, Lebanon, Turkey, Jordan, Morocco"
85,85,Drivers of Mobile Payment Acceptance:The Impact of Network Externalities in Nigeria,"Qasim Ajao, Olukotun Oludamilare, Lanre Sadeeq",2023-05-24,http://arxiv.org/pdf/2305.15436v3,"The rising popularity of mobile payments can be attributed to the widespread
use of smartphones and their applications. Despite its potential to simplify
our lives, its adoption in African countries has been limited. This paper aims
to enhance our understanding of the critical factors that influence the
acceptance of mobile payments in Nigeria by exploring the impact of network
externalities in addition to conventional technology acceptance factors. It
posits that performance expectancy, effort expectancy, social influence, trust,
and network externality are the key drivers of mobile payment acceptance. The
research findings indicate that while traditional drivers still have an impact
on customer's willingness to adopt mobile payment, network externalities have
the strongest influence. The paper provides recommendations for future
research, although the results did not support the impact of effort expectancy.",arxiv,Economics,2023,Nigeria
86,86,A Comparison Between Long Short-Term Memory and Hidden Markov Model to Predict Productivity of Maize in Nigeria,"Edesiri Bridget Nkemnole, Victor Adoghe",2023-05-28,http://arxiv.org/pdf/2305.17613v1,"Due to population increase and import constraints, maize, a key cereal crop
in Africa, is experiencing a boom in demand. Given this, the study's focus is
on determining how maize output in Nigeria interacts with various climatic
factors, particularly rainfall and temperature. The Hidden Markov Model (HMM)
and the Long Short-Term Memory neural network (LSTM) are compared in this
context to assess their performance. A variety of performance indicators, such
as correlation, mean absolute percentage error (MAPE), standard error of the
mean (SEM), and mean square error (MSE), are used to evaluate the models. The
outcomes show that the HMM performs better than the LSTM, with an RMSE of 1.21
and a MAPE of 12.98 demonstrating greater performance. Based on this result,
the HMM is then used to forecast maize yield while taking the effects of
temperature and rainfall into account. The estimates highlight the possibility
for increasing local output by demonstrating a favorable environment for maize
planting in Nigeria. In order to help the Nigerian government in its efforts to
increase maize production domestically, these studies offer useful insights.",arxiv,Agricultural Science,2023,Nigeria
87,87,21 new long-term variables in the GX 339-4 field: two years of MeerKAT monitoring,"L. N. Driessen, B. W. Stappers, E. Tremou, R. P. Fender, P. A. Woudt, R. Armstrong, S. Bloemen, P. Groot, I. Heywood, A. Horesh, A. J. van der Horst, E. Koerding, V. A. McBride, J. C. A. Miller-Jones, K. P. Mooley, A. Rowlinson, R. A. M. J. Wijers",2022-03-18,http://arxiv.org/pdf/2203.09806v1,"We present 21 new long-term variable radio sources found commensally in two
years of weekly MeerKAT monitoring of the low-mass X-ray binary GX 339-4. The
new sources vary on time scales of weeks to months and have a variety of light
curve shapes and spectral index properties. Three of the new variable sources
are coincident with multi-wavelength counterparts; and one of these is
coincident with an optical source in deep MeerLICHT images. For most sources,
we cannot eliminate refractive scintillation of active galactic nuclei as the
cause of the variability. These new variable sources represent $2.2\pm0.5$ per
cent of the unresolved sources in the field, which is consistent with the 1-2
per cent variability found in past radio variability surveys. However, we
expect to find short-term variable sources in the field as well as these 21 new
long-term variable sources. We present the radio light curves and spectral
index variability of the new variable sources, as well as the absolute
astrometry and matches to coincident sources at other wavelengths.",arxiv,Astronomy,2022,South Africa
88,88,Towards Supervised and Unsupervised Neural Machine Translation Baselines for Nigerian Pidgin,"Orevaoghene Ahia, Kelechi Ogueji",2020-03-27,http://arxiv.org/pdf/2003.12660v1,"Nigerian Pidgin is arguably the most widely spoken language in Nigeria.
Variants of this language are also spoken across West and Central Africa,
making it a very important language. This work aims to establish supervised and
unsupervised neural machine translation (NMT) baselines between English and
Nigerian Pidgin. We implement and compare NMT models with different
tokenization methods, creating a solid foundation for future works.",arxiv,Computational Linguistics,2020,Nigeria
89,89,Tropospheric delay in microwave propagation in Nigeria,"Samuel Ogunjo, Joseph Dada, Sunday Oluyamo, Ibiyinka Fuwape",2018-11-29,http://arxiv.org/pdf/1811.12055v1,"Satellite communication systems suffer from the systematic error of
tropospheric delay. Accurate estimation of this delay is essential for
communication budget and planning. This study investigates the tropospheric
delay in three Nigeria cities: Abuja, Lagos, Port-Harcourt using two different
models (Saastominen and Hopfield). Three year atmospheric data for surface
pressure, relative humidity and temperature obtained at 5-mins interval were
acquired from the Tropospheric Data Acquisition Network (TRODAN) archives.
Computed radio refractivity values showed distinct seasonal dependence in Abuja
with low and high values during the dry and wet season respectively. The
Hopfield model predicts higher hydrostatic delay values than the Saastominen
model. In the non-hydrostatic delay, the two models converge to a single values
at high temperature. Theorems were proposed with proofs to explain the
relationship observed between the two models.",arxiv,Atmospheric Science,2018,Nigeria
90,90,Forecasting and Uncertainty in Modeling the 2014-2015 Ebola Epidemic in West Africa,"Marisa C. Eisenberg, Joseph N. S. Eisenberg, Jeremy P. D'Silva, Eden V. Wells, Sarah Cherng, Yu-Han Kao, Rafael Meza",2015-01-22,http://arxiv.org/pdf/1501.05555v3,"The Ebola epidemic in West Africa is the largest ever recorded, with over
27,000 cases and 11,000 deaths as of June 2015. The public health response was
challenged by difficulties with disease surveillance, which impacted subsequent
analysis and decision-making regarding optimal interventions. We developed a
stage-structured model of Ebola virus disease (EVD). A key feature of the model
is that it includes a generalized correction term accounting for factors such
as the fraction of cases reported and fraction of the population at risk (e.g.
due to contact patterns, interventions, spatiotemporal spread, pre-existing
immunity, asymptomatic cases, etc.). We generated a range of short-term
forecasts for Guinea, Liberia, and Sierra Leone, which we then validated using
subsequent data. We also used the model to examine the uncertainty in the
relative contributions to transmission by the different stages of infection
(early, late, and funeral). We found that a wide range of forecasted
trajectories fit approximately equally well to the early data. However, by
including the correction factor term the best-fit models correctly forecasted
EVD activity for all three countries, both individually and for all countries
combined. In particular, the model correctly forecasted the slow-down in
Liberia, as well as the continued exponential growth in Sierra Leone through
November 2014. Parameter unidentifiability issues hindered estimation of the
relative contributions of each stage of transmission from incidence and deaths
data alone, which poses a challenge in determining optimal intervention
strategies, and underscores the need for additional data collection. Even with
these limited data, however, it is still possible to accurately capture and
predict the epidemic dynamics by using a simplified correction term that
approximately accounts for the complex underlying factors driving disease
spread.",arxiv,Epidemiology,2015,"Guinea, Liberia, Sierra Leone"
91,91,Use of Available Data To Inform The COVID-19 Outbreak in South Africa: A Case Study,"Vukosi Marivate, Herkulaas MvE Combrink",2020-04-02,http://arxiv.org/pdf/2004.04813v2,"The coronavirus disease (COVID-19), caused by the SARS-CoV-2 virus, was
declared a pandemic by the World Health Organization (WHO) in February 2020.
Currently, there are no vaccines or treatments that have been approved after
clinical trials. Social distancing measures, including travel bans, school
closure, and quarantine applied to countries or regions are being used to limit
the spread of the disease and the demand on the healthcare infrastructure. The
seclusion of groups and individuals has led to limited access to accurate
information. To update the public, especially in South Africa, announcements
are made by the minister of health daily. These announcements narrate the
confirmed COVID-19 cases and include the age, gender, and travel history of
people who have tested positive for the disease. Additionally, the South
African National Institute for Communicable Diseases updates a daily
infographic summarising the number of tests performed, confirmed cases,
mortality rate, and the regions affected. However, the age of the patient and
other nuanced data regarding the transmission is only shared in the daily
announcements and not on the updated infographic. To disseminate this
information, the Data Science for Social Impact research group at the
University of Pretoria, South Africa, has worked on curating and applying
publicly available data in a way that is computer-readable so that information
can be shared to the public - using both a data repository and a dashboard.
Through collaborative practices, a variety of challenges related to publicly
available data in South Africa came to the fore. These include shortcomings in
the accessibility, integrity, and data management practices between
governmental departments and the South African public. In this paper, solutions
to these problems will be shared by using a publicly available data repository
and dashboard as a case study.",arxiv,Public Health,2020,South Africa
92,92,Non-Banking Sector development effect on Economic Growth. A Nighttime light data approach,"Leonard Mushunje, Maxwell Mashasha",2023-11-19,http://arxiv.org/pdf/2401.08596v1,"This paper uses nighttime light(NTL) data to measure the nexus of the
non-banking sector, particularly insurance, and economic growth in South
Africa. We hypothesize that insurance sector growth positively propels economic
growth due to its economic growth-supportive traits like investment protection
and optimal risk mitigation. We also claim that Nighttime light data is a good
economic measure than Gross domestic product (GDP). We used weighted
regressions to measure the relationships between nighttime light data, GDP, and
insurance sector development. We used time series South African GDP data
collected from the World Bank for the period running from 2000 to 2018, and the
nighttime lights data from the National Geophysical Data Centre (NGDC) in
partnership with the National Oceanic and Atmospheric Administration (NOAA).
From the models fitted and the reported BIC, AIC, and likelihood ratios, the
insurance sector proved to have more predictive power on economic development
in South Africa, and radiance light explained economic growth better than GDP
and GDP/Capita. We concluded that nighttime data is a good proxy for economic
growth than GDP/Capita in emerging economies like South Africa, where secondary
data needs to be more robust and sometimes inflated. The findings will guide
researchers and policymakers on what drives economic development and what
policies to put in place. It would be interesting to extend the current study
to other sectors such as micro-finances, mutual and hedge funds.",arxiv,Economics,2023,South Africa
93,93,New insights on supernova remnants and HII regions in M82,"D. Williams-Baldwin, G. Lucatelli, T. W. B. Muxlow, R. J. Beswick, S. W. Shungube, R. Lumpkin-Robbins, M. K. Argo, D. M. Fenech, N. Kimani, J. Radcliffe",2025-04-24,http://arxiv.org/pdf/2504.17500v1,"The nearby (d=3.6 Mpc) starburst galaxy M82 has been studied for several
decades by very long baseline interferometry (VLBI) networks such as e-MERLIN
and the European VLBI Network (EVN). The numerous supernova remnants (SNRs),
HII regions and other exotic transients make it a perfect laboratory for
studying stellar evolution and the interstellar medium (ISM). Its proximity
provides a linear resolution of 17 pc/arcsec, enabling decadal-time-scale
variability and morphology studies of the tens of compact radio sources. In
this proceedings, we describe new techniques developed in the last ten years
that provide deeper, more robust imaging, enable in-band spectral index
mapping, and allow wider fields of view to be imaged to find new radio sources.",arxiv,Astrophysics,2025,European
94,94,Sentiment Analysis on the young people's perception about the mobile Internet costs in Senegal,"Derguene Mbaye, Madoune Robert Seye, Moussa Diallo, Mamadou Lamine Ndiaye, Djiby Sow, Dimitri Samuel Adjanohoun, Tatiana Mbengue, Cheikh Samba Wade, De Roulet Pablo, Jean-Claude Baraka Munyaka, Jerome Chenal",2025-04-17,http://arxiv.org/pdf/2504.13284v1,"Internet penetration rates in Africa are rising steadily, and mobile Internet
is getting an even bigger boost with the availability of smartphones. Young
people are increasingly using the Internet, especially social networks, and
Senegal is no exception to this revolution. Social networks have become the
main means of expression for young people. Despite this evolution in Internet
access, there are few operators on the market, which limits the alternatives
available in terms of value for money. In this paper, we will look at how young
people feel about the price of mobile Internet in Senegal, in relation to the
perceived quality of the service, through their comments on social networks. We
scanned a set of Twitter and Facebook comments related to the subject and
applied a sentiment analysis model to gather their general feelings.",arxiv,Computer Science,2025,Senegal
95,95,Field-Level Crop Type Classification with k Nearest Neighbors: A Baseline for a New Kenya Smallholder Dataset,"Hannah Kerner, Catherine Nakalembe, Inbal Becker-Reshef",2020-04-06,http://arxiv.org/pdf/2004.03023v1,"Accurate crop type maps provide critical information for ensuring food
security, yet there has been limited research on crop type classification for
smallholder agriculture, particularly in sub-Saharan Africa where risk of food
insecurity is highest. Publicly-available ground-truth data such as the
newly-released training dataset of crop types in Kenya (Radiant MLHub) are
catalyzing this research, but it is important to understand the context of
when, where, and how these datasets were obtained when evaluating
classification performance and using them as a benchmark across methods. In
this paper, we provide context for the new western Kenya dataset which was
collected during an atypical 2019 main growing season and demonstrate
classification accuracy up to 64% for maize and 70% for cassava using k Nearest
Neighbors--a fast, interpretable, and scalable method that can serve as a
baseline for future work.",arxiv,Agricultural Science,2020,Kenya
96,96,El Bahr: A Prospective Impact Crater,"Antonia Paris, Shalabiea Osama M, Ahmed Mohamed, Evan Davies",2020-04-27,http://arxiv.org/pdf/2004.12985v1,"This preliminary investigation addresses the discovery of an unidentified
crater located south of the Sahara Desert between Qaret Had El Bahr and Qaret
El Allafa, Egypt. The unidentified crater (hereafter tentatively named El Bahr
Crater) was discovered during a terrain analysis of the Sahara Desert. El Bahr
Crater is located Southwest Al-Jiza Giza and is approximately 327 meters
across, has a rim with a circumference of approximately 1,027 meters, and
occupies a surface area of approximately 83,981 square meters. Preliminary
spectral and topographic analysis reveal features characteristic of an impact
crater produced by a hypervelocity event of extraterrestrial origin, including
a bowl-shaped rim and a crater wall. No proximal and/or distal ejecta, however,
are visible from Landsat imagery. Moreover, the geomorphic features, along with
the fact that the El Bahr basalts are known to be rich in orthopyroxene while
the surrounding basalts are not, imply an impact as the most plausible
explanation. The El Bahr Crater is not indexed in the Earth Impact Database,
and an analysis of impact structures in Africa did not identify it as either a
confirmed, proposed or disproved impact crater. In collaboration with the
University of Cairo, therefore, an expedition has been organized to conduct an
in-situ investigation of El Bahr Crater, to ascertain if planar formations,
shatter cones, and shock metamorphic and or other meteoritic properties are
present.",arxiv,Planetary Science,2020,Egypt
